id,name,locality,city_zone,latitude,longitude,type
87,Shikshak Colony,Kavalapur,Kavalapur,16.9213738,74.6076118,Colony
88,Indira Apartment,North Shivaji Nagar,Sangli,16.8606470,74.5762146,Apartment
89,Shree Datta Residency,South Shivaji Nagar,Sangli,16.8530482,74.5812865,Apartment
90,Lohia House Shanti Residency,North Shivaji Nagar,Sangli,16.8599972,74.5786430,Apartment
91,Nasa Capital,North Shivaji Nagar,Sangli,16.8613836,74.5783928,Apartment
92,Kore Garden Apartment,Gulmohar Colony,Sangli,16.8481813,74.5815448,Apartment
93,Green Park,Miraj Madhavnagar Road,Sangli,16.8534472,74.6227367,Residential Plots
94,Chinmay Park,Yashwantnagar,Sangli,16.8726388,74.5975589,Housing Society
95,Abhay Nagar,Arwade Park,Sangli,16.8674242,74.5902077,Housing Complex
96,Vrindavan Villas Township,Vishrambag,Sangli,16.8323835,74.5991987,Township
97,Brahm Chaitanya Vrindavan Villa Township,Vishrambag,Sangli,16.8327015,74.5997584,Township
98,Vaheguru Niwas,Vasant Park Chougle Plot,Sangli,16.8478303,74.5611344,Bungalow
99,Parshwanath Nagar (Kupwad Road),Balajinagar,Sangli,16.8635082,74.6035025,Colony
100,Laxmi Nagar,Tuljainagar,Sangli,16.8615360,74.6032134,Colony
101,Parshwanath Nagar,Tilak Nagar,Sangli,16.8628735,74.6037093,Colony
102,Ankuj Nagar,Tilak Nagar,Sangli,16.8626857,74.6050891,Colony
103,Utkarsh Nagar,Kupwad MIDC Road,Kupwad,16.8642580,74.6039292,Colony
104,Ratnatray Colony,Abhay Nagar,Sangli,16.8647560,74.5987254,Colony
105,Samrudhinagar,Tuljainagar,Sangli,16.8606378,74.5977166,Colony
106,Shardanagar,Tuljainagar,Sangli,16.8607180,74.6042293,Colony
107,Vasanti Apartment,Khanbhag,Sangli,16.8574041,74.5732008,Apartment
108,Dharmaratna Complex,Khanbhag,Sangli,16.8619228,74.5665422,Housing Complex
109,Grand View Apartments,Chandanwadi,Miraj,16.8407245,74.6363280,Apartment
110,Galaxy Apartment,Fort Area,Miraj,16.8195014,74.6505872,Apartment
111,Mayuresh Apartment,Fort Area,Miraj,16.8200289,74.6535356,Apartment
112,Glen Avenue,Shivaji Nagar,Miraj,16.8318579,74.6417305,Apartment
113,Unique Residency,Brahmanpuri,Miraj,16.8277123,74.6518112,Apartment
114,Akash Ganga Apartment,Othonial Colony,Miraj,16.8347088,74.6490615,Apartment
115,Sainandan Enclave Apartment,Rama Udyan,Miraj,16.8383488,74.6531216,Apartment
116,Shivakunj Apartment,Nadi Ves,Miraj,16.8164896,74.6465643,Apartment
117,Galaxy Residency (Miraj),Miraj MIDC,Miraj,16.8452518,74.6330618,Apartment
118,Valli Palace,Khatib Nagar,Miraj,16.8362868,74.6414096,Apartment
119,Kohinoor Residency,Nipanikar Colony,Miraj,16.8345991,74.6414679,Apartment
120,Taramohan Bungalow,Somwar Peth,Madhavnagar,16.8886867,74.5853099,Bungalow
121,Sai Colony,MIDC Kupwad,Kupwad,16.8716800,74.6280581,Colony
122,Rajhas Colony,Ulhas Nagar,Kupwad,16.8729972,74.6211084,Colony
123,Vrindavan Colony,Kupwad,Kupwad,16.8657688,74.6164457,Colony
124,Samarth Colony,Kupwad,Kupwad,16.8774806,74.6144116,Colony
125,Shant Colony,Ulhas Nagar,Kupwad,16.8721594,74.6204499,Colony
126,Vasant Colony (Miraj Road),MIDC Industrial Area,Miraj,16.8379227,74.6302953,Colony
127,Ekta Colony,Vasant Colony,Sangli,16.8573937,74.5870394,Colony
128,Akashdarshan Apartment,Padmavathi Colony,Sangli,16.8443000,74.5886000,Apartment
129,Shiv Hardik Green Acres,Dhamani Road,Sangli,16.8319328,74.5867844,Apartment
130,Onkar Paradise,Old Dhamani Road,Sangli,16.8363932,74.5864569,Apartment
131,Sejal Heights,Dattanagar,Sangli,16.8404770,74.5873259,Apartment
132,Raghukul Residency,Dhamani Road,Sangli,16.8394726,74.5859617,Apartment
133,Atulyam Apartment,Vishrambag,Sangli,16.8355842,74.5892378,Apartment
134,Rohini Apartment,Nishant Colony,Sangli,16.8466846,74.5852287,Apartment
135,Bhagirathi Sankul,Warnali Road,Sangli,16.8532531,74.6044448,Apartment
136,Tulajai Sahniwas,Gaon Bhag,Sangli,16.8569182,74.5593698,Apartment
137,Sawali,Patrakar Nagar,Sangli,16.8488835,74.5725515,Housing Complex
138,Sawali Bungalow,Chanakyapuri Colony,Sangli,16.8418372,74.5928630,Bungalow
139,Samarth Residency,Nagraj Colony,Sangli,16.8431963,74.5900759,Apartment
140,Ravitej Residency,Pragati Colony,Sangli,16.8434296,74.5851688,Apartment
141,Apurva Residency,Vishrambag 100 Feet Road,Sangli,16.8456474,74.5898901,Apartment
142,Nisarg Apartment,Vishrambag 100 Feet Road,Sangli,16.8439860,74.5963992,Apartment
143,Harmony Residency,Vishrambag,Sangli,16.8466487,74.5948764,Housing Complex
144,Vinaya Residency,Gandhi Nagar,Sangli,16.8473360,74.5927042,Apartment
145,Amit Residency,Savarkar Colony,Sangli,16.8440381,74.5928073,Apartment
146,Isha Residency,Gulmohar Colony,Sangli,16.8471265,74.5794003,Apartment
147,Sainath Residency,Patrakar Nagar,Sangli,16.8489985,74.5643541,Apartment
148,Seven Hills,"Dhamani Road, Gandhi Nagar",Sangli,16.8485951,74.5881641,Housing Complex
149,Chha. Sambhaji Colony,Timber Area,Sangli,16.8645744,74.5808393,Colony
150,Shivanand Home,Timber Area,Sangli,16.8625599,74.5807115,Bungalow
151,Kamalabai Pane Nivas,Timber Market Road,Sangli,16.8618094,74.5827256,Bungalow
152,Arihant Bunglow Row House,Samastanagar,Sangli,16.8365720,74.6181103,Row House
153,Nisarg Bungalow,Sai Nagar,Kupwad,16.8696951,74.6094599,Bungalow
154,Vivekanand Housing Society,Tuljainagar,Sangli,16.8619030,74.6092392,Housing Society
155,Ramkrishna Nagar,Kupwad,Kupwad,16.8712952,74.6085730,Colony
